Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price
86690.8733,6.259900934,6.67626537,3.23,42589.62439,1723729.655
59866.9477,5.870329833,5.899076342,4.16,32064.59716,1039380.722
74372.13845,6.56237959,8.184510518,6.35,34321.96015,1648246.774
61370.32349,6.529605446,6.606743697,4.3,20600.511,824540.8964
52652.65234,5.688943049,7.217268472,4.06,34776.58591,928210.7615
83656.48931,7.553568914,5.457145849,3.5,42841.74162,1564563.568
67683.20307,6.17004566,5.90871987,3.18,31420.29924,949879.9339
73829.77774,6.130262508,6.182842582,3.5,51385.52324,1376492.925
56063.48087,5.10693512,5.385339778,4.14,39129.2967,734827.508
69442.44539,5.967035895,5.580979938,3.19,56984.14525,1469561.675
57868.26663,6.042906909,7.42352677,6.27,45196.15396,1189069.105
71356.30273,5.156588693,7.175189117,5.18,36998.47979,1182335.68
74656.89424,6.115160124,7.721848678,4.17,22602.13357,1228517.207
81665.57835,5.565925802,6.04574936,4.35,34753.88289,1358983.47
60503.00376,6.565511757,7.42247165,5.17,49155.50948,1431517.358
67022.77922,5.631565659,6.94646556,4.18,33891.30518,1118165.866
73896.10342,6.182091797,6.080269606,3.05,44256.77913,1393482.85
65706.75564,6.180693957,5.698131456,4.31,42527.78566,1271340.381
62224.01009,6.692664317,5.040349931,3.36,21689.12354,908616.4826
70190.79644,6.745053762,6.662566733,2.01,29215.13611,1340094.966
79807.71094,6.022509243,7.707193246,5.44,45333.75788,1903660.919
73497.30703,6.703612477,6.139734378,4.1,39897.62592,1302664.417
67123.33363,5.195548818,6.856949349,3.23,27725.52718,949892.5314
68272.31965,4.079320164,7.983259576,4.05,30937.82848,978824.6016
56000.02192,6.282141494,6.334296043,3.16,41006.98371,1034539.831
61972.70607,6.374354979,6.780917665,3.23,28465.87545,1031981.283
45863.03216,6.494455422,6.965111002,3.34,34426.422,964596.7498
60864.99773,7.097956384,5.85250828,4.17,25334.77931,745586.5735
48855.35379,5.392023337,7.289207308,5.08,36994.27915,735952.1689
75126.80508,8.008209502,7.845971202,5.09,36544.31859,1742938.776
79027.73784,5.994030336,6.915672322,3.02,21387.62999,1232014.527
73415.9945,6.375035825,6.728146141,4.05,41628.89274,1479603.756
60018.89377,6.650993718,5.258696394,3.07,35188.91826,927181.0664
69799.15198,5.684122076,5.96631833,4.14,38340.7314,1152798.579
79337.32565,6.261758249,8.296472748,3.21,41521.38461,1697501.605
55306.14197,6.125857494,6.410318199,4.06,32142.94735,647982.6536
64675.75114,4.367778621,5.52781326,4.38,36376.48857,664298.9713
68025.57066,5.248054681,6.945083997,4.23,35478.58299,1048969.493
71328.91388,5.870774806,6.011422793,2.5,26738.54964,1062105.308
66565.72872,6.634227875,6.0176939,3.49,50182.39838,1585348.095
77362.05456,6.03271483,5.382998154,3.31,24171.18247,1000892.046
52864.75931,5.994728233,7.852066885,3.16,39156.98102,962028.7008
63555.72232,7.027469896,5.831951102,4.45,25154.95519,939490.9138
66158.88159,4.476429066,6.91174261,2.28,37098.74217,1111085.017
61606.92174,6.89584933,6.004365015,2.06,40496.06977,1325860.533
89157.61293,6.286086725,7.192237739,4.46,33834.92173,1643291.722
75099.24722,5.990447952,6.877230219,3.45,14744.05144,968045.4778
68219.51472,5.677914141,8.221347384,6.22,42342.57799,1429529.63
50935.95923,6.606775102,7.326665554,6.14,44128.20096,988123.7553
48362.98195,6.151659517,8.252002288,4.19,49354.12973,1035125.857
77551.6278,5.535920946,4.679134254,2.03,35834.493,1064854.309
82173.62608,4.018524685,6.992698757,2.03,38853.91807,1125692.507
68524.19436,6.312452422,5.564721388,2.05,48112.39408,1219154.403
45551.40297,6.91702898,6.441014974,2.48,49839.32178,1197975.085
76149.69359,7.241230672,6.632118776,3.42,31566.96055,1457672.906
72894.73717,6.029107996,6.563053295,4.01,37796.05565,1146480.214
55040.23986,6.11305499,4.97716915,4.29,58040.67422,1090888.963
77932.5664,5.942552133,7.123306887,3.41,29085.13579,1448081.251
50756.16783,5.434055757,6.66586368,2.43,40714.4003,752950.6068
92787.28248,5.193719807,6.825129553,2.24,36590.45042,1628878.094
72920.86775,5.397964171,7.736952387,3.43,35656.22969,1125677.604
48629.25183,5.87822948,7.661603454,3.31,53564.16323,1209445.22
56647.8825,7.499317992,7.903674878,4.35,39780.92727,1400268.142
57122.22484,5.70765003,5.929733805,2.4,41972.77154,716771.0057
68500.81624,5.84297074,7.031799423,5.36,51746.72764,1530729.578
61776.61566,6.834478651,8.285496304,3.05,27970.52173,1325819.913
79298.12201,7.188208135,5.336841156,3.44,15753.26664,1310207.133
63600.68699,7.403052279,5.728417583,2.03,53539.19695,1345296.554
73699.78263,8.18125291,7.424093156,5.07,34445.8909,1710966.036
59013.40347,5.443617288,5.854419882,2.16,28264.0066,744132.7042
58655.8541,5.857893814,6.630831721,4.02,40740.78015,1069851.162
