Survived,Age,Embarked,Fare,Pclass,Sex,Family_Size,Honorific,Ticket_info,Deck
0,22,2,7,2,1,1,2,2,8
1,38,0,71,0,0,1,3,14,3
1,26,2,7,2,0,0,1,31,8
1,35,2,53,0,0,1,3,36,3
0,35,2,8,2,1,0,2,36,8
0,19,1,8,2,1,0,2,36,8
0,54,2,51,0,1,0,2,36,5
0,2,2,21,2,1,4,0,36,8
1,27,2,11,2,0,2,3,36,8
1,14,0,30,1,0,1,3,36,8
1,4,2,16,2,0,2,1,15,7
1,58,2,26,0,0,0,1,36,3
0,20,2,8,2,1,0,2,2,8
0,39,2,31,2,1,6,2,36,8
0,14,2,7,2,0,0,1,36,8
1,55,2,16,1,0,0,3,36,8
0,2,1,29,2,1,5,0,36,8
1,22,2,13,1,1,0,2,36,8
0,31,2,18,2,0,1,3,36,8
1,20,0,7,2,0,0,3,36,8
0,35,2,26,1,1,0,2,36,8
1,34,2,13,1,1,0,2,36,4
1,15,1,8,2,0,0,1,36,8
1,28,2,35,0,1,0,2,36,1
0,8,2,21,2,0,4,1,36,8
1,38,2,31,2,0,6,3,36,8
0,19,0,7,2,1,0,2,36,8
0,19,2,263,0,1,5,2,36,3
1,17,1,7,2,0,0,1,36,8
0,26,2,7,2,1,0,2,36,8
0,40,0,27,0,1,0,2,14,8
1,26,0,146,0,0,1,3,14,2
1,34,1,7,2,0,0,1,36,8
0,66,2,10,1,1,0,2,7,8
0,28,0,82,0,1,1,2,14,8
0,42,2,52,0,1,1,2,36,8
1,26,0,7,2,1,0,2,36,8
0,21,2,8,2,1,0,2,2,8
0,18,2,18,2,0,2,1,36,8
1,14,0,11,2,0,1,1,36,8
0,40,2,9,2,0,1,3,36,8
0,27,2,21,1,0,1,3,36,8
0,16,0,7,2,1,0,2,36,8
1,3,0,41,1,0,3,1,23,8
1,19,1,7,2,0,0,1,36,8
0,39,2,8,2,1,0,2,19,8
0,21,1,15,2,1,1,2,36,8
1,25,1,7,2,0,0,1,36,8
0,28,0,21,2,1,2,2,36,8
0,18,2,17,2,0,1,3,36,8
0,7,2,39,2,1,5,0,36,8
0,21,2,7,2,1,0,2,1,8
1,49,0,76,0,0,1,3,14,4
1,29,2,26,1,0,1,3,36,8
0,65,0,61,0,1,1,2,36,2
1,15,2,35,0,1,0,2,36,3
1,21,2,10,1,0,0,1,7,8
0,28,0,7,2,1,0,2,36,8
1,5,2,27,1,0,3,1,7,8
0,11,2,46,2,1,7,0,7,8
0,22,0,7,2,1,0,2,36,8
1,38,2,80,0,0,0,1,36,2
0,45,2,83,0,1,1,2,36,3
0,4,2,27,2,1,5,0,36,8
0,37,0,27,0,1,0,2,14,8
1,32,0,15,2,1,2,0,36,8
1,29,2,10,1,0,0,3,7,6
0,19,2,8,2,1,0,2,29,8
1,17,2,7,2,0,6,1,36,8
0,26,2,8,2,1,2,2,36,8
0,32,2,10,1,1,0,2,7,8
0,16,2,46,2,0,7,1,7,8
0,21,2,73,1,1,0,2,24,8
0,26,0,14,2,1,1,2,36,8
1,32,2,56,2,1,0,2,36,8
0,25,2,7,2,1,0,2,36,6
0,40,2,7,2,1,0,2,36,8
0,24,2,8,2,1,0,2,36,8
1,0,2,29,1,1,2,0,36,8
1,30,2,12,2,0,0,1,36,8
0,22,2,9,2,1,0,2,36,8
1,29,2,9,2,1,0,2,36,8
1,27,1,7,2,0,0,1,36,8
0,28,2,47,0,1,0,2,36,8
1,17,2,10,1,0,0,1,24,8
1,33,2,15,2,0,3,3,36,8
0,16,2,34,2,1,4,2,34,8
0,34,2,8,2,1,0,2,28,8
1,23,2,263,0,0,5,1,36,3
0,24,2,8,2,1,0,2,36,8
0,29,2,8,2,1,0,2,36,8
0,20,2,7,2,1,0,2,36,8
0,46,2,61,0,1,1,2,35,5
0,26,2,20,2,1,3,2,7,8
0,59,2,7,2,1,0,2,36,8
0,37,2,8,2,1,0,2,36,8
0,71,0,34,0,1,0,2,14,1
1,23,0,63,0,1,1,2,14,4
1,34,2,23,1,0,1,3,36,8
0,34,2,26,1,1,1,2,36,8
0,28,2,7,2,0,0,1,36,8
0,38,2,7,2,1,0,2,36,8
0,21,2,77,0,1,1,2,36,4
0,33,2,8,2,1,0,2,36,8
0,37,2,7,2,1,2,2,36,8
0,28,2,7,2,1,0,2,36,8
1,21,2,7,2,0,0,1,36,8
1,29,2,7,2,1,0,2,36,8
0,38,2,7,2,1,0,2,36,8
1,42,1,24,2,0,1,1,36,8
0,47,2,52,0,1,0,2,36,3
0,14,0,14,2,0,1,1,36,8
0,22,2,8,2,1,0,2,36,8
0,20,2,9,2,0,1,1,36,8
0,17,0,14,2,0,0,1,36,8
0,21,2,7,2,1,0,2,30,8
0,70,1,7,2,1,0,2,36,8
0,29,2,21,1,1,1,2,36,8
0,24,0,247,0,1,1,2,14,2
0,2,2,31,2,0,6,1,36,8
0,21,2,73,1,1,2,2,24,8
0,40,2,8,2,1,0,2,1,8
0,32,0,30,1,1,1,2,36,8
1,32,2,13,1,0,0,1,36,5
0,54,2,77,0,1,1,2,36,4
1,12,0,11,2,1,1,0,36,8
0,24,1,7,2,1,0,2,36,8
1,24,2,7,2,1,0,2,6,8
1,35,0,22,2,0,2,1,36,6
0,45,2,6,2,1,0,2,36,8
0,33,0,7,2,1,0,2,36,8
0,20,2,7,2,1,0,2,28,8
0,47,2,14,2,0,1,3,2,8
1,29,2,26,1,0,1,3,36,8
0,25,2,13,1,1,0,2,7,8
0,23,0,15,1,1,0,2,22,8
1,19,2,26,0,0,2,1,36,4
0,37,2,53,0,1,1,2,36,3
0,16,2,9,2,1,0,2,36,8
0,24,0,79,0,1,0,2,14,2
0,35,0,15,2,0,2,3,36,8
1,22,2,7,2,0,0,1,36,8
1,24,2,15,2,0,1,3,31,8
0,19,1,6,2,1,0,2,36,8
0,18,2,11,1,1,0,2,36,8
0,19,2,36,1,1,2,2,7,8
1,27,2,7,2,1,0,2,36,8
0,9,2,34,2,0,4,1,34,8
0,36,2,26,1,1,2,2,36,6
0,42,2,13,1,1,0,2,36,8
0,51,2,12,1,1,0,2,25,8
1,22,2,66,0,0,1,3,36,3
0,55,2,8,2,1,0,2,2,8
0,40,2,14,2,1,2,2,2,8
0,23,2,7,2,1,0,2,11,8
0,51,0,61,0,1,1,2,14,8
1,16,1,7,2,0,0,1,36,8
0,30,2,8,2,1,0,2,28,8
0,28,2,8,2,1,0,2,36,8
0,41,2,69,2,1,10,0,7,8
0,44,2,16,2,1,1,2,36,8
1,40,2,15,1,0,0,3,7,8
0,26,2,7,2,1,0,2,36,8
0,17,2,8,2,1,0,2,36,8
0,1,2,39,2,1,5,0,36,8
1,9,2,20,2,1,2,0,36,8
1,40,2,55,0,0,1,3,36,5
0,45,2,27,2,0,5,3,36,8
0,18,2,25,0,1,0,2,14,8
0,28,2,56,2,1,0,2,36,8
0,61,2,33,0,1,0,2,36,2
0,4,1,29,2,1,5,0,36,8
1,1,2,11,2,0,2,1,36,8
0,21,2,7,2,1,0,2,30,8
0,56,0,30,0,1,0,2,36,1
0,18,2,7,2,1,2,2,36,8
0,42,2,25,2,1,4,0,36,8
0,50,0,28,0,0,0,1,14,3
0,30,2,13,1,1,0,2,36,8
0,36,2,0,2,1,0,2,12,8
0,38,2,69,2,0,10,1,7,8
0,18,0,15,1,1,0,2,22,8
0,9,2,31,2,1,6,0,36,8
1,1,2,39,1,1,3,0,36,6
1,4,2,22,2,0,2,1,36,8
0,21,2,50,0,1,0,2,36,1
1,19,1,15,2,0,1,3,36,8
1,45,2,26,0,1,0,2,36,8
0,40,1,15,2,1,2,2,36,8
0,36,2,7,2,1,0,2,36,8
1,32,2,13,1,0,0,3,36,8
0,19,2,13,1,1,0,2,36,8
1,19,2,7,2,0,1,1,36,8
1,3,2,26,1,1,2,0,36,6
1,44,0,27,0,0,0,3,14,2
1,58,0,146,0,0,0,1,14,2
0,18,1,7,2,1,0,2,36,8
0,42,2,8,2,1,1,2,36,8
1,33,1,7,2,0,0,1,36,8
0,24,2,13,1,0,0,1,36,8
0,28,2,9,2,1,0,2,36,8
0,18,2,69,2,1,10,2,7,8
0,34,2,6,2,1,0,2,36,8
0,45,0,7,2,1,0,2,36,8
1,18,2,8,2,1,0,2,2,8
0,2,2,10,2,0,1,1,36,7
0,32,2,15,2,1,1,2,36,8
1,26,0,18,2,1,0,2,36,8
1,16,1,7,2,0,0,1,36,8
1,40,0,31,0,1,0,2,36,1
0,24,2,7,2,1,0,2,28,8
1,35,2,21,1,0,0,1,10,8
0,22,2,7,2,1,0,2,2,8
0,30,2,13,1,1,0,2,36,8
0,41,1,7,2,1,1,2,36,8
1,31,0,113,0,0,1,1,36,4
1,27,2,7,2,0,0,1,31,8
0,42,2,27,1,1,1,2,36,8
1,32,0,76,0,0,0,1,36,4
0,30,2,10,1,1,0,2,34,8
1,16,2,8,2,1,0,2,28,8
0,27,2,13,1,1,0,2,36,8
0,51,2,8,2,1,0,2,36,8
0,30,2,7,2,1,0,2,36,8
1,38,2,90,0,1,1,2,36,3
0,22,2,9,2,1,0,2,15,8
1,19,2,10,1,1,0,2,33,8
0,20,2,7,2,1,0,2,2,8
0,18,2,13,1,1,0,2,36,8
0,21,2,25,2,0,4,1,36,8
1,35,2,83,0,0,1,3,36,3
0,29,2,7,2,1,0,2,36,8
0,59,2,13,1,1,0,2,36,8
1,5,2,31,2,0,6,1,36,8
0,24,2,10,1,1,0,2,7,8
0,32,2,7,2,0,0,1,34,8
0,44,2,26,1,1,1,2,36,8
1,8,2,26,1,0,2,1,7,8
0,19,2,10,1,1,0,2,36,8
0,33,2,12,1,1,0,2,21,8
0,22,0,14,2,0,1,1,36,8
1,42,1,15,2,0,1,1,36,8
0,29,2,10,1,1,0,2,34,8
0,22,2,7,2,1,0,2,30,8
0,30,0,7,2,1,0,2,36,8
0,44,1,90,0,1,2,2,36,3
0,25,2,7,2,0,0,1,36,8
1,24,2,14,1,0,2,3,36,8
1,37,2,52,0,1,2,2,36,4
0,54,2,26,1,1,1,2,36,8
0,19,2,7,2,1,0,2,36,8
0,29,2,10,2,0,2,3,36,7
0,62,2,26,0,1,0,2,36,3
0,30,2,16,2,1,1,2,2,8
0,41,2,20,2,0,2,3,36,8
1,29,0,15,2,0,2,3,36,8
1,32,0,79,0,0,0,3,14,8
1,30,2,86,0,0,0,1,36,2
1,35,0,512,0,0,0,1,14,8
1,50,2,26,1,0,1,3,36,8
0,40,1,7,2,1,0,2,36,8
1,3,2,31,2,1,6,0,36,8
0,52,2,79,0,1,2,2,36,5
0,40,2,0,0,1,0,2,36,2
0,21,1,7,2,0,0,1,36,8
0,36,2,10,1,1,0,2,7,8
0,16,2,39,2,1,5,2,36,8
1,25,2,7,2,1,1,2,36,8
1,58,2,153,0,0,1,3,14,3
1,35,2,135,0,0,0,1,14,3
0,21,2,31,0,1,0,2,36,8
1,25,2,0,2,1,0,2,12,8
1,41,2,19,1,0,1,3,36,8
0,37,0,29,0,1,1,2,14,3
1,16,1,7,2,0,0,1,36,8
1,63,2,77,0,0,1,1,36,4
0,45,2,7,2,0,0,1,36,8
0,20,2,0,1,1,0,2,36,8
0,7,1,29,2,1,5,0,36,8
1,35,2,20,2,0,2,3,7,8
0,65,1,7,2,1,0,2,36,8
0,28,2,7,2,1,0,2,36,8
0,16,2,9,2,1,0,2,36,8
1,19,2,8,2,1,0,2,2,8
0,34,2,26,0,1,0,2,36,1
0,33,0,8,2,1,0,2,36,8
1,30,2,9,2,1,0,2,36,8
0,22,2,7,2,1,0,2,36,8
1,42,2,13,1,1,0,2,36,8
1,22,1,7,2,0,0,1,36,8
1,26,2,78,0,0,0,1,36,8
1,19,0,91,0,0,1,3,36,2
0,36,0,12,1,1,0,2,23,4
0,24,2,8,2,0,0,1,36,8
0,24,2,7,2,1,0,2,36,8
0,16,0,27,0,1,0,2,14,8
0,23,0,7,2,1,0,2,36,8
0,2,2,151,0,0,3,1,36,3
1,28,2,30,0,1,0,2,36,3
1,50,0,247,0,0,1,3,14,2
1,41,1,7,2,0,0,1,36,8
1,27,1,23,2,1,2,2,36,8
0,19,2,0,2,1,0,2,12,8
1,25,1,12,1,0,0,1,36,5
0,22,2,8,2,1,0,2,2,8
1,0,2,151,0,1,3,0,36,3
1,26,0,110,0,0,0,1,36,8
